Fecha,Tipo de Cambio de Referencia - en Pesos - por Dólar
04-03-02,2.0083
05-03-02,1.9917
06-03-02,2.0508
07-03-02,2.1375
08-03-02,2.2033
11-03-02,2.2525
12-03-02,2.3650
13-03-02,2.3317
14-03-02,2.3650
15-03-02,2.3408
18-03-02,2.3175
19-03-02,2.3783
20-03-02,2.4320
21-03-02,2.3883
22-03-02,2.5683
25-03-02,3.2050
26-03-02,2.9917
27-03-02,2.8517
02-04-02,2.8875
03-04-02,2.9033
04-04-02,2.8000
05-04-02,2.6733
08-04-02,2.7042
09-04-02,2.7467
10-04-02,2.7708
11-04-02,2.7883
12-04-02,2.8592
15-04-02,2.9233
16-04-02,2.8533
17-04-02,2.8050
18-04-02,2.9117
19-04-02,3.1167
29-04-02,3.0217
30-04-02,2.9167
02-05-02,3.0358
03-05-02,3.1600
06-05-02,3.1633
07-05-02,3.1717
08-05-02,3.1863
09-05-02,3.1800
10-05-02,3.1767
13-05-02,3.2667
14-05-02,3.2557
15-05-02,3.2250
16-05-02,3.2228
17-05-02,3.3300
20-05-02,3.5167
21-05-02,3.4933
22-05-02,3.4208
23-05-02,3.3883
24-05-02,3.4283
27-05-02,3.4483
28-05-02,3.4517
29-05-02,3.5433
30-05-02,3.5917
31-05-02,3.5750
03-06-02,3.5942
04-06-02,3.6083
05-06-02,3.6267
06-06-02,3.6367
07-06-02,3.6300
10-06-02,3.5325
11-06-02,3.4558
12-06-02,3.4450
13-06-02,3.4717
14-06-02,3.5043
18-06-02,3.5078
19-06-02,3.5362
20-06-02,3.5833
21-06-02,3.6360
24-06-02,3.7058
25-06-02,3.8500
26-06-02,3.8675
27-06-02,3.8092
28-06-02,3.8037
01-07-02,3.7912
02-07-02,3.6900
03-07-02,3.5767
04-07-02,3.5558
05-07-02,3.5667
08-07-02,3.5317
10-07-02,3.5303
11-07-02,3.5550
12-07-02,3.5875
15-07-02,3.5933
16-07-02,3.5907
17-07-02,3.4967
18-07-02,3.5417
19-07-02,3.5845
22-07-02,3.5978
23-07-02,3.6383
24-07-02,3.6450
25-07-02,3.6267
26-07-02,3.6558
29-07-02,3.6500
30-07-02,3.6508
31-07-02,3.7008
01-08-02,3.6333
02-08-02,3.6150
05-08-02,3.6163
06-08-02,3.6208
07-08-02,3.6278
08-08-02,3.6408
09-08-02,3.6367
12-08-02,3.6200
13-08-02,3.6108
14-08-02,3.6325
15-08-02,3.6417
16-08-02,3.6392
20-08-02,3.6300
21-08-02,3.5983
22-08-02,3.5817
23-08-02,3.6042
26-08-02,3.6183
27-08-02,3.6258
28-08-02,3.6050
29-08-02,3.6117
30-08-02,3.6250
02-09-02,3.6280
03-09-02,3.6330
04-09-02,3.6368
